id,title,type,open_year,rate,running_time,genre1,genre2,genre3,actor,director,summary
10,인질,Movie,2021,8.1,1시간 34분,스릴러,액션,,"Hwang Jung-min, Kim Jae-bum, Lee Yoo-mi, Ryu Kyung-soo, Lee Ho-jung, Cho Gyeong-hyeon",Pil Gam-seong,"평소와 똑같던 어느 새벽, 서울 한복판에서 증거도, 목격자도 없이 대한민국 톱배우 '황정민'이 납치된다. 한 치 앞을 알 수 없는 상황 속 살기 위한 극한의 탈주가 시작되는데… 관객들을 사로잡을 리얼리티 액션스릴러가 온다!"
11,스파이더맨 2,Movie,2004,8.3,2시간 7분,판타지,SF,액션,"Tobey Maguire, Kirsten Dunst, James Franco, Alfred Molina, Rosemary Harris, J.K. Simmons",Sam Raimi,"우연한 사고로 특별한 능력을 갖게된 피터 파커는 대학생과 슈퍼 히어로의 신분을 오가며 짜릿한 생활을 하지만 사랑 하는 메리 제인에게조차 자신의 마음을 열 수 없는 현실은 그들을 안타까운 로맨스로 이끈다. 한편 스파이더맨에게 아버지를 잃고 복수심에 불타는 피터의 친구 해리가 연구 중 폭발로 기계촉수와 엄청난 파워를 갖게된 닥터 옥토퍼스에게 뿌리치지 못할 제안을 하면서 도시 전체가 걷잡을 수 없는 위험에 휘말리게 되고, 스파이더맨의 운명은 점차 예측불가능한 상황으로 전개되는데..."
12,프라미싱 영 우먼,Movie,2020,8.3,1시간 53분,범죄,드라마,스릴러,"Carey Mulligan, Bo Burnham, Alison Brie, Clancy Brown, Jennifer Coolidge, Laverne Cox",Emerald Fennell,7년 전 의대를 중퇴하고 카페에서 일하는 카산드라는 남성이 몸을 가누기 힘들어하는 자신에게 접근해 합의되지 않은 성관계를 시도하려고 할 때 다시 취하지 않은 모습으로 돌아와 남성을 혼란에 빠뜨리고 밖으로 나와 버린다. 그가 이런 위험한 연극을 반복해온 데는 이유가 있다. 그 사연은 우연히 가게에 라이언이 방문해 카산드라에게 데이트를 신청하면서 점점 수면 위로 떠오른다.
13,어메이징 스파이더맨 2,Movie,2014,7.7,2시간 32분,판타지,액션,코미디,"Andrew Garfield, Emma Stone, Jamie Foxx, Dane DeHaan, Colm Feore, Felicity Jones",Marc Webb,"스파이더맨의 삶에 완전히 적응한 피터 파커는 거미줄로 뉴욕을 활강하며 위험에 처한 시민들을 구해주고 사랑하는 연인 그웬과 데이트를 즐기며 행복하게 살아간다. 그러던 어느 날, 스파이더맨의 열렬한 팬이자 오스코프사의 전기 엔지니어인 맥스는 작업 중 치명적인 사고로 자신에게 엄청난 능력이 생긴 것을 발견한다. 하지만 이 능력으로 인해 뉴욕을 마비시킨 대규모 정전사태가 발생하고 사태를 해결하기 위해 나선 자신의 영웅 스파이더맨에게 공격을 당하자 배신감을 느끼고 분노하는데..."
14,"틱, 틱... 붐!",Movie,2021,8.7,2시간 1분,드라마,,,"Andrew Garfield, Alexandra Shipp, Robin de Jesús, Vanessa Hudgens, Joshua Henry, Jonathan Marc Sherman",Lin-Manuel Miranda,"뉴욕시에서 식당 웨이터로 일하는 한편, 명작을 쓰겠다는 희망으로 창작에 매진하는 뮤지컬 작곡가. 서른 살 생일과 중요 공연을 앞두고 심적 압박을 받는 상황에서도 사랑과 우정을 헤쳐나간다."
15,고스트 버스터즈,Movie,1984,8.4,1시간 41분,판타지,코미디,SF,"Bill Murray, Dan Aykroyd, Sigourney Weaver, Harold Ramis, Rick Moranis, Annie Potts",Ivan Reitman,"초심리를 연구하는 뉴욕의 괴짜교수 피터 밴크맨(빌 머레이)와 레이몬드 스탠드(댄 애크로이드), 에곤 스펜글러(해롤드 래미스)는 루이스(릭 모라니스)를 비서로 고용한다. 이는 뉴욕에 출몰하는 유령들을 잡기 위해서다. 루이스를 포함한 이들 네 명은 유령을 잡는 회사를 설립해 각색의 유령들을 잡아들이기 시작한다. 이들은 처음에는 주위의 멸시를 받았으나 어느 날 강한 악령의 힘이 살아나기 시작하면서 활동의 힘을 얻는다. 이들 '고스트 버스터즈'는 마침내, 뉴욕의 다나의 집에 출현해 거대한 빌딩 옥상에 버티고 있는 유령들의 총두목격인 '카쟈'를 만나게 되는데..."
16,레이니 데이 인 뉴욕,Movie,2019,6.9,1시간 32분,코미디,로맨스,,"Timothée Chalamet, Elle Fanning, Selena Gomez, Jude Law, Diego Luna, Liev Schreiber",Woody Allen,"개츠비와 애슐리는 대학에서 함께 신문을 제작하다 연인으로 발전했다. 애슐리는 곧 새 영화를 발표할 롤란 폴라드 감독의 인터뷰를 맡게 되었고, 인터뷰가 끝난 후 근사한 데이트를 할 계획으로 두 사람은 함께 뉴욕으로 향한다. 인터뷰 도중 롤란 폴라드 감독은 애슐리에게 자신의 신작을 보여주겠다는 제안을 하는데 관람 도중 자신의 영화가 마음에 들지 않는다며 뛰쳐나간다. 당황한 애슐리는 그의 동료 테드와 함께 감독을 찾으러 나선다. 애슐리를 기다리던 개츠비는 영화를 촬영하던 친구와 우연히 마주치고, 갑작스레 그의 작품에 출연하게 된다."
17,아리사카,Movie,2021,7.4,1시간 36분,액션,스릴러,,"Maja Salvador, Mon Confiado, Shella Mae Romualdo, Art Acuna, Michael Roy Jornales, Kiel Rodriguez",Mikhail Red,한 경찰이 ‘죽음의 바탄 행진’이 자행되었던 길을 되돌아간다. 놈들에게서 벗어나기 위해. 한 치의 오차도 없는 복수를 위해.
18,기적,Movie,2021,7.3,1시간 57분,드라마,,,"Park Jeong-min, Yoona, Lee Sung-min, Lee Soo-kyung, Jung Moon-sung, Kim Kang-hoon",Lee Jang-hoon,"오갈 수 있는 길은 기찻길밖에 없지만 정작 기차역은 없는 마을, 준경의 목표는 단 하나, 바로 마을에 기차역이 생기는 것이다. 기차역은 어림없다는 원칙주의 기관사 아버지의 반대에도 마을에 남는 걸 고집하며 왕복 5시간 통학길을 오가는 준경. 그의 엉뚱함 속 비범함을 단번에 알아본 자칭 뮤즈 라희와 함께 오로지 기차역을 짓기 위한 준경만의 노력은 계속되는데..."
19,몽상가들,Movie,2003,8,1시간 52분,드라마,MadeinEurope,코미디,"Michael Pitt, Eva Green, Louis Garrel, Anna Chancellor, Robin Renucci, Jean-Pierre Kalfon",Bernardo Bertolucci,"자유를 외치는 젊은이들의 뜨거운 열기로 가득한 1968년 파리, 영화광인 미국인 유학생 매튜(마이클 피트)는 시네마테크에서 쌍둥이 남매 이사벨(에바 그린)과 테오(루이 가렐)를 만나 가까워진다. 부모가 휴가를 떠난 이사벨과 테오의 집에서 한 달 간 지내게 된 매튜는 영화와 음악, 책, 혁명 등의 이야기를 자유롭게 나누며 특별한 추억을 쌓는다. 자연스레 이사벨에게 사랑을 느끼게 되는 매튜, 하지만 이사벨은 테오와 떨어지려 하지 않고 세 사람의 은밀하고 특별한 관계는 계속되는데..."
20,언프리티 소셜 스타,Movie,2017,7.2,1시간 37분,코미디,드라마,,"Aubrey Plaza, Elizabeth Olsen, O'Shea Jackson Jr., Wyatt Russell, Billy Magnussen, Pom Klementieff",Matt Spicer,"팔로워만 26만, 머리부터 발끝까지 완벽한 SNS스타 ‘테일러’! 팔로잉만 천명!? 습관적으로 ‘좋아요’만 누르는 SNS홀릭 ‘잉그리드’! 쿨하고 예쁜 것만 즐기며 영화처럼 살고 싶지만 뜻대로 될 리 없던 잉그리드는 외모, 취향, 패션 스타일까지 모든 것이 워너비인 테일러를 팔로우하다 그녀처럼 멋진 삶을 꿈꾸며 무작정 LA로 떠나 새 출발 하기로 다짐한다. 둘은 우연(?)한 사건으로 만나 화려한 파티와 일상을 함께 즐기는 둘도 없는 현실 절친이 되지만 뜻밖의 사건으로 잉그리드의 비밀이 밝혀지면서 사이가 벌어지게 되는데… 핫하고 힙한 언니들의 SNS 라이프가 시작된다!"
21,아사쿠사 키드,Movie,2021,7.9,2시간 3분,드라마,,,"Yuya Yagira, Yo Oizumi, Mugi Kadowaki, Nobuyuki Tsuchiya, Ayumu Nakajima, Yusuke Furusawa",Hitori Gekidan,"기타노 다케시에겐 스승이 있었다. 도쿄 아사쿠사 극장가의 전설, 후카미 센자부로. 그리고 뜨는 해가 있으면 지는 해가 있는 세상의 섭리는 이 두 사람도 비켜가지 않았다."
22,미스 슬로운,Movie,2016,8.2,2시간 12분,스릴러,드라마,MadeinEurope,"Jessica Chastain, Mark Strong, Gugu Mbatha-Raw, Alison Pill, Michael Stuhlbarg, Jake Lacy",John Madden,"승률 100%를 자랑하는 최고의 로비스트 슬로운. 총기 규제 법안으로 온 나라가 떠들썩한 가운데, 자신의 신념에 따라 모두가 포기한 싸움에 뛰어들게 된다. 승리를 위해서라면 수단과 방법을 가리지 않는 슬로운은 뛰어난 전략으로 한 번도 굴복한 적 없는 거대 권력에 맞서지만, 동시에 자신과 주변 사람 모두를 위험에 빠트리게 되는데…"
23,팬텀 스레드,Movie,2017,8.1,2시간 10분,드라마,로맨스,,"Daniel Day-Lewis, Vicky Krieps, Lesley Manville, Camilla Rutherford, Gina McKee, Brian Gleeson",Paul Thomas Anderson,"웨딩드레스 디자이너 레이놀즈는 머리를 식히러 시골로 향하던 중 어느 식당에서 알마를 발견한다. 그녀가 자신이 꿈꿔온 완벽한 뮤즈임을 직감한 레이놀즈는 식당 웨이트리스로 일하던 알마를 자신의 거처로 데려온다. 행복도 잠시, 알마는 레이놀즈의 세계에 적응하지 못한다. 어린 시절부터 동고동락한 누이 시릴은 레이놀즈의 장단에 기꺼이 발을 맞추는 훌륭한 조력자지만, 알마는 그의 패턴에 자신을 맞출 생각이 없다. 부주의하며 느슨한 알마의 태도에 레이놀즈는 점점 싫증을 내는데..."
24,백사2: 청사의 시련,Movie,2021,8.5,2시간 11분,애니메이션,액션,판타지,"Tang Xiaoxi, Zhang Fuzheng, Wei Chao, Mingzhou Zhao, Zheng Xiaopu, Ma Cheng",Amp Wong,법해를 물리치고 언니를 구하려던 소청은 디스토피아 도시에서 눈을 뜬다. 낯선 이곳은 어딜까. 그런 소청 앞에 전생을 기억하지 못하는 미스터리한 남자가 나타난다.
25,파탈,Movie,2020,6.4,1시간 42분,스릴러,,,"Michael Ealy, Hilary Swank, Mike Colter, Damaris Lewis, Geoffrey Owens, Tyrin Turner",Deon Taylor,"성공한 스포츠 에이전트 데릭(마이클 엘리)은 베일에 싸인 매력적인 여자 밸(힐러리 스웽크)과 격렬한 하룻밤을 보낸 뒤, 자신이 피해자로 연루된 사건의 담당 형사가 바로 밸이라는 사실을 알게 된다. 완벽했던 데릭의 삶은 천천히 무너지고, 흩어진 조각을 맞추려 필사적으로 달려들수록 데릭은 밸의 함정 속으로 더 깊이 빠져 가족과 직업, 인생 전체를 위험에 빠뜨린다. 긴장감 넘치는 심리 스릴러. 실수 하나로 인생이 바뀔 수 있는 고양이와 쥐의 예측할 수 없는 게임이 시작된다."
26,언포기버블,Movie,2021,8.4,1시간 52분,드라마,스릴러,범죄,"Sandra Bullock, Viola Davis, Vincent D'Onofrio, Jon Bernthal, Richard Thomas, Linda Emond",Nora Fingscheidt,살인죄로 복역 후 출소한 루스. 과거를 용서해주지 않는 냉담한 사회에서 고통받던 그녀는 오래전 헤어져야 했던 동생을 찾으러 나선다.
27,아이 씨 유,Movie,2019,7.7,1시간 38분,공포,스릴러,범죄,"Helen Hunt, Jon Tenney, Owen Teague, Judah Lewis, Libe Barer, Gregory Alan Williams",Adam Randall,"열 살 소년 실종 사건이 발생한 어느 교외 도시, 사건 담당 형사 그렉은 이 사건이 15년 전 일어났던 아동 연쇄 살인 사건과 관련이 있음을 직감한다. 한편, 불안 증세를 겪던 그렉의 아내 재키는 주변 물건이 사라지는 등 이상한 일들이 벌어지자 집 안에 누군가 숨어 있음을 눈치채게 되는데…"
28,스파이더맨 3,Movie,2007,7.4,2시간 19분,판타지,액션,SF,"Tobey Maguire, Kirsten Dunst, James Franco, Thomas Haden Church, Topher Grace, Bryce Dallas Howard",Sam Raimi,"대중의 사랑을 듬뿍 받으며 진정한 영웅으로 거듭난 스파이더맨, 피터 파커는 어느 날, 외계에서 온 수수께끼의 유기체인 심비오트에 감염되고 스파이더맨은 오리지날 스파이더맨에서 블랙 슈트 스파이더맨으로 변화한다. 한층 업그레이드 되고 강력해진 파워를 얻게 된 스파이더맨은 자신의 힘에 도취되어 마음껏 세상을 즐긴다. 그러나 아버지의 복수를 위해 뉴 고블린이 된 해리와 물리 실험에 노출되어 능력을 얻게 된 피터의 삼촌을 죽인 진범 샌드맨은 호시탐탐 스파이더맨을 노리는데..."
29,스노우 화이트,Movie,2019,5.8,1시간 52분,드라마,코미디,MadeinEurope,"Isabelle Huppert, Lou de Laâge, Vincent Macaigne, Charles Berling, Pablo Pauly, Richard Fréchette",Anne Fontaine,"아주 먼 옛날이 아닌 얼마 전 어느 날, 아름다운 미모를 지닌 ‘클레어’(루 드 라쥬)는 계모 ‘모드’(이자벨 위페르)와 함께 아버지가 유산으로 남긴 성 같은 호텔을 운영하고 있었어요. 어느 날 자신이 사랑하는 남자가 클레어에게 반했다는 사실을 알아챈 모드는 질투심에 사로잡혀 클레어를 없애버리기로 결심했어요. 계모의 흉계로 알프스의 어느 시골 마을로 쫓겨난 클레어는 그 곳에서 일곱 명의 남자를 만나며 진정한 자신을 깨닫게 되는데…"
30,노트북,Movie,2004,8.7,2시간 3분,드라마,로맨스,,"Rachel McAdams, Ryan Gosling, Gena Rowlands, James Garner, Sam Shepard, Joan Allen",Nick Cassavetes,"17살, 노아는 밝고 순수한 앨리를 보고 첫눈에 반한다. 빠른 속도로 서로에게 빠져드는 둘. 그러나 이들 앞에 놓인 장벽에 막혀 이별하게 된다. 24살, 앨리는 우연히 신문에서 노아의 소식을 접하고 잊을 수 없는 첫사랑 앞에서 다시 한 번 선택의 기로에 서게 되는데…"
31,타오르는 여인의 초상,Movie,2019,8.9,2시간 0분,로맨스,역사,드라마,"Noémie Merlant, Adèle Haenel, Luàna Bajrami, Valeria Golino, Christel Baras, Armande Boulanger",Céline Sciamma,"1770년, 젊은 화가 마리안느는 밀라노 귀족과 결혼을 앞둔 여인 엘로이즈의 초상화를 그려달라는 백작 부인의 의뢰를 받고 엘로이즈가 머무는 외딴섬의 영지에서 며칠간 머물게 된다. 마리안느는 엘로이즈가 초상화 그리는 걸 싫어한다는 이유 때문에 화가라는 신분을 숨기고 접근한다. 마리안느는 엘로이즈의 이목구비를 눈에 담기 위해 매일 산책에 동행하면서 그녀가 지닌 아픔을 어루만져주고 친분도 쌓는다. 어쨌든 그녀는 엘로이즈의 결혼을 종용하는 도구로 사용될 초상화 완성에 매진해야 한다."
32,쇼생크 탈출,Movie,1994,9.8,2시간 22분,드라마,범죄,,"Tim Robbins, Morgan Freeman, Bob Gunton, William Sadler, Clancy Brown, Gil Bellows",Frank Darabont,"촉망받는 은행 간부 앤디 듀프레인은 아내와 그녀의 정부를 살해했다는 누명을 쓴다. 주변의 증언과 살해 현장의 그럴듯한 증거들로 그는 종신형을 선고받고 악질범들만 수용한다는 지옥같은 교도소 쇼생크로 향한다. 인간 말종 쓰레기들만 모인 그곳에서 그는 이루 말할 수 없는 억압과 짐승보다 못한 취급을 당한다. 그러던 어느 날, 간수의 세금을 면제받게 해 준 덕분에 그는 일약 교도소의 비공식 회계사로 일하게 된다. 그 와중에 교도소 소장은 죄수들을 이리저리 부리면서 검은 돈을 긁어 모으고 앤디는 이 돈을 세탁하여 불려주면서 그의 돈을 관리하는데..."
33,러브 액츄얼리,Movie,2003,8.1,2시간 15분,코미디,드라마,로맨스,"Hugh Grant, Liam Neeson, Alan Rickman, Emma Thompson, Bill Nighy, Laura Linney",Richard Curtis,"크리스마스를 앞둔 런던, 다우닝가에 둥지를 튼 총리는 식음료 담당자 나탈리에게 호감을 가지며, 작가 제이미는 파출부 오렐리아에게 매력을 느낀다. 대니얼은 아내를 잃은 슬픔에 빠져 있고, 양아들 샘은 미국에서 온 조안나에게 잘 보이려고 고민 중이며, 총리의 여동생 캐런은 남편의 부정을 눈치챈다. 새라는 동료 칼을 짝사랑하며, 친구 피터와 줄리엣의 결혼을 접하는 마크의 표정은 우울하다. 여기에 마약중독에서 빠져나온 록 가수 빌리 맥, 미국 여자들과 즐기기 위해 미국행을 결심하는 콜린 등이 뒤얽히며 사랑의 갖가지 모습이 펼쳐진다."
34,캐롤,Movie,2015,8,1시간 59분,로맨스,드라마,MadeinEurope,"Rooney Mara, Cate Blanchett, Kyle Chandler, Sarah Paulson, Jake Lacy, John Magaro",Todd Haynes,"1950년대 뉴욕, 맨해튼 백화점 점원인 테레즈와 손님으로 찾아온 캐롤은 처음 만난 순간부터 거부할 수 없는 강한 끌림을 느낀다. 하나뿐인 딸을 두고 이혼 소송 중인 캐롤과 헌신적인 남자친구가 있지만 확신이 없던 테레즈, 각자의 상황을 잊을 만큼 통제할 수 없이 서로에게 빠져드는 감정의 혼란 속에서 둘은 확신하게 된다. 인생의 마지막에, 그리고 처음으로 찾아온 진짜 사랑임을…"
35,장고: 분노의 추적자,Movie,2012,9.1,2시간 45분,서부,드라마,,"Jamie Foxx, Christoph Waltz, Leonardo DiCaprio, Kerry Washington, Samuel L. Jackson, Walton Goggins",Quentin Tarantino,"흑인 노예 장고는 착한 사마리아인 같은 독일인 현금사냥꾼 닥터 킹의 도움을 받아 멋진 말을 타고 미국 평원을 달리며 헤어진 아내 브룸힐다를 찾아다니는 총잡이 낭만주의자로 변신한다. 그는 브룸힐다가 미시시피에서 가장 악독한 농장 캔디랜드의 노예로 일하고 있다는 소식을 듣고 농장주 캔디를 찾아간다. 아내를 구해야 하는 분노의 로맨티스트 장고, 그를 돕는 정의의 바운티 헌터 닥터 킹, 그리고 그들의 표적이 된 욕망의 마스터 캔디. 복수의 사슬이 풀리면, 세 남자의 피도 눈물도 없는 대결이 시작된다."
36,가려진 시간,Movie,2016,7.8,2시간 9분,판타지,드라마,,"Gang Dong-won, Shin Eun-soo, Lee Hyo-je, Kim Hee-won, Kwon Hae-hyo, Kim Dan-yul",Um Tae-hwa,"엄마를 잃은 후 새 아빠와 함께 화노도로 이사 온 수린. 자신만의 공상에 빠져 홀로 지내는 수린에게 성민이 먼저 다가온다. 둘만의 암호로, 둘만의 공간에서, 둘만 아는 추억을 쌓아가는 그들. 어느 날, 공사장 발파 현장을 구경하기 위해 친구들과 산으로 가고 그곳에서 모두가 실종된 채, 유일하게 수린만 돌아온다. 그리고 며칠 뒤, 자신이 성민이라는 남자가 수린 앞에 나타난다. ‘멈춰진 시간’에 갇혀 어른이 되었다는 성민. 수린만이 성민을 믿어주는 가운데 경찰과 마을 사람들은 의심을 거두지 못하고 성민은 쫓기는 상황에 이르게 되는데…"
37,이터널 선샤인,Movie,2004,9,1시간 48분,SF,드라마,로맨스,"Jim Carrey, Kate Winslet, Kirsten Dunst, Mark Ruffalo, Elijah Wood, Tom Wilkinson",Michel Gondry,"조엘은 아픈 기억만을 지워준다는 라쿠나사를 찾아가 헤어진 연인 클레멘타인의 기억을 지우기로 결심한다. 기억이 사라져 갈수록 조엘은 사랑이 시작되던 순간, 행복한 기억들, 가슴 속에 각인된 추억들을 지우기 싫어지기만 하는데... 당신을 지우면 이 아픔도 사라질까요? 사랑은 그렇게 다시 기억된다."
